No.,Order No.,Article No. ,Drawing,Bright Annealing,Sinking,Electro Fission,Distorted or Not
1,14389927,15323759,360.4,107.4,385.6,387.7,1
2,14389217,15325226,384.7,102.6,387.3,390.7,1
3,14389820,15325218,391.1,99.2,375.6,391,1
4,14388649,15325220,383.8,106.6,387.7,394.1,1
5,14388570,15325218,392.6,115,396.8,396,1
6,14389219,15325226,361.3,114.1,383.6,400,1
7,14389203,15325218,395.1,98.9,411.8,402,1
8,14389292,16056175,393.8,117.1,402.4,406.9,1
9,14389300,16056175,375,115.6,403.8,407.1,1
10,14389345,15325189,387.4,115.2,390.1,407.9,1
11,14389349,15325189,374.3,90.3,385.1,410.9,1
12,14389211,15325218,391.6,116.5,395.4,411.6,1
13,14389829,15325218,394.2,108,408.5,415,1
14,14389314,15325226,419.7,100.5,404.4,415.2,1
15,14389220,15325226,382.2,93.9,400.8,398.1,1
16,14389212,15325218,415.5,114.3,382.1,403.7,1
17,14389218,15325226,396.1,115.8,399.4,403.2,1
18,14389213,15325218,414.4,92.7,401.2,391.6,1
19,14389821,15325218,432.2,93.7,407.7,395.1,1
20,14389928,15323759,400.2,99.8,391.1,412.8,1
21,14388650,15325220,353.4,95.5,407.1,400.7,1
22,14388651,15325220,436.2,91.2,386.2,391.6,1
23,14387420,16056175,405,104.8,404,408.7,1
24,14388571,15325218,415.4,99.5,403.6,406.5,1
25,14388990,15325220,378.3,92,389,394.1,1
26,14387810,15325226,425.9,107.7,390.5,411.8,1
27,14389204,15325218,433.5,95.7,385.8,406.1,1
28,14389346,15325189,426.2,103.2,401.7,404.1,1
29,14389205,15325218,348.8,103.4,389.2,398.7,1
30,14389024,15325220,389.4,96.5,377.1,386.9,1
31,14389347,15325189,344.3,99.3,391.2,413.8,1
32,14389603,15325189,415,103.7,400.3,395.3,1
33,14389778,16056175,385.1,108.2,380.5,404.3,1
34,14389356,16056175,367.5,108.1,380.8,388.6,1
35,14389607,15325189,428.8,113,400.7,403,1
36,14389766,15325226,395.1,111,391.8,403.7,1
37,14389214,15325218,421.9,111.4,391.4,411.7,1
38,14387655,15325218,388,105.2,387.7,386.5,1
39,14389873,15325218,373.7,106.8,388.2,405.8,1
40,14389608,15325189,358,97,375.1,389.4,1
41,14389874,15325218,420.2,95.1,404.3,408.5,1
42,14384537,15325220,414.5,115.1,388.4,406.7,1
43,14387654,15325226,437.3,104.4,378.6,407.9,1
44,14385670,15325218,430.2,115.3,382,411,1
45,14389926,15323759,357.9,102.4,385.3,399.4,1
46,1439027,15323759,366.3,114.9,382.1,393,1
47,14387903,15325218,432.7,102.2,407.2,393.5,1
48,14389057,16056175,379.2,113.4,384.4,390.3,1
49,14385673,15325218,353.9,99.5,392,390.9,1
50,1439003,15323759,377,113.6,392.6,405.5,1
51,14389283,16056183,349,196.7,355.2,363.4,0
52,14389863,15325217,375.6,181.6,314.8,357.4,0
53,14389855,15325217,345.7,177.2,343.7,392.5,0
54,14389922,15325222,371.2,174.2,362.4,366.3,0
55,14389906,15325222,344.1,171.4,340.2,397.4,0
56,14389916,15325222,360.6,167.9,416.3,417.1,0
57,14389836,15325221,370.6,165.7,387.9,420,0
58,14389857,15325217,412.9,129.5,402.8,415.2,0
59,14389271,15325222,383.4,159.2,399,418,0
60,14389216,15325226,398.4,163.8,392.6,413.8,0
61,14388674,15323754,396.7,160.8,425,397.5,0
62,14389840,15325221,433.2,100.6,427.7,417.6,0
63,14387486,15325222,403.55,180.21,405.35,363.46,0
64,14387798,15323754,403.37,130.09,417.26,368.36,0
65,14386803,15325222,397.61,146.64,407.64,400.39,0
66,14389684,15323754,346.78,179.75,320.87,391.06,0
67,14387687,15325221,359.91,146.36,408.98,357.4,0
68,14383867,15325222,428.49,145.57,394.5,414.21,0
69,14389563,15323754,418.08,134.58,364.26,409.24,0
70,14389676,15325221,394.61,190.46,358.92,363.3,0
71,14389664,15325221,421.6,145.09,392.08,405.55,0
72,14389856,15323754,412.7,154.7,404.64,379.29,0
73,14389503,15325221,374.8,163.01,360.5,399.67,0
74,14389593,16056183,370.04,170.54,407.16,374.6,0
75,14389701,15323754,408.09,131.87,404.97,403.2,0
76,14389938,15325221,416.87,148,327.82,393.37,0
77,14389963,15325221,378.22,151.2,404.59,407.97,0
78,14389561,15323754,347.66,144.94,348.39,382.32,0
79,14389703,15325222,407.63,170.34,379.62,380.07,0
80,14389785,15325221,363.35,128.04,349.11,411.83,0
81,14389916,16056183,370.85,165.67,352.79,358.35,0
82,14389764,15323754,351.9,195.47,342.37,391.5,0
83,14389639,15323754,369.69,148.73,334.35,399.62,0
84,14389515,16056183,389.37,161.38,419.54,390.12,0
85,14389791,15325222,405.23,170.16,403.99,387,0
86,14389603,15325221,389.81,156.34,403.58,399.09,0
87,14389966,16056183,377.86,142.77,341.49,405.8,0
88,14389875,15325221,408.09,180.4,329.93,372.66,0
89,14389827,15325221,349.4,177.9,359.75,370.59,0
90,14389932,15325222,415.94,180.73,394,385.29,0
91,14389740,15325221,409.46,158.28,319.3,381.09,0
92,14389853,16056183,431.62,193.59,390.44,384.54,0
93,14389871,15325222,355.91,144.21,329.29,384.09,0
94,14389840,15325221,354.62,127.08,426.54,415.46,0
95,14389780,16056183,389.5,127.82,408.22,373.99,0
96,14389722,15325221,377.44,177.72,390.23,409.92,0
97,14389945,15325222,384.25,160.63,385.09,382.29,0
98,14389828,15325221,418.41,188.91,413.28,413.7,0
99,14389526,15325222,396.78,196.79,371.83,371.05,0
100,14389578,15325221,347.26,189.11,345.72,383.51,0
